ed_name,vs16,vs20,vs24,first_diff,second_diff,third_diff,san16vs,san20vs
81018,5.24,11.13,21.76,5.890000000000001,10.63,16.520000000000003,30.08,15.67
81019,4.96,13.29,19.79,8.329999999999998,6.5,14.829999999999998,26.54,15.33
81020,8.85,9.72,19.34,0.870000000000001,9.62,10.49,26.56,10.05
81021,6.48,9.05,19.59,2.5700000000000003,10.54,13.11,24.59,14.87
81022,3.36,8.77,26.08,5.41,17.31,22.72,26.12,15.71
81023,5.27,11.85,19.97,6.58,8.12,14.7,24.72,13.68
81024,6.82,9.86,19.96,3.039999999999999,10.100000000000001,13.14,25.81,15.91
81025,43.79,41.62,36.34,-2.1700000000000017,-5.279999999999994,-7.449999999999996,57.47,24.64
81026,34.77,28.01,21.85,-6.760000000000002,-6.16,-12.920000000000002,54.43,29.76
81027,49.2,45.85,18.31,-3.3500000000000014,-27.540000000000003,-30.890000000000004,55.56,30.1
81028,42.82,40.92,19.98,-1.8999999999999986,-20.94,-22.84,54.46,36.84
81030,47.63,48.48,30.75,0.8499999999999943,-17.729999999999997,-16.880000000000003,57.14,28.17
81031,48.77,51.66,26.24,2.8899999999999935,-25.419999999999998,-22.530000000000005,59.04,41.94
81032,48.69,42.9,29.59,-5.789999999999999,-13.309999999999999,-19.099999999999998,56.96,23.53
81033,15.35,20.79,23.64,5.4399999999999995,2.8500000000000014,8.290000000000001,39.34,19.23
81034,14.7,20.44,19.06,5.740000000000002,-1.3800000000000026,4.359999999999999,38.53,19.47
81035,16.8,22.72,22.96,5.919999999999998,0.240000000000002,6.16,47.03,23.44
81036,15.26,18.55,27.85,3.290000000000001,9.3,12.590000000000002,44.33,27.94
81037,12.19,19.32,26.65,7.130000000000001,7.329999999999998,14.459999999999999,46.67,30.52
81038,5.62,16.42,32.34,10.8,15.920000000000002,26.720000000000002,34.45,28.92
81039,10.75,23.37,29.38,12.620000000000001,6.009999999999998,18.63,34.15,26.03
81040,7.94,18.0,33.19,10.059999999999999,15.189999999999998,25.249999999999996,36.13,25.71
81041,19.14,24.6,51.17,5.460000000000001,26.57,32.03,45.02,25.0
81042,19.57,24.27,49.37,4.699999999999999,25.099999999999998,29.799999999999997,33.8,25.4
81043,20.82,23.25,46.9,2.4299999999999997,23.65,26.08,45.45,20.13
81044,27.93,28.37,16.96,0.4400000000000013,-11.41,-10.969999999999999,44.17,21.84
81046,11.97,13.5,19.66,1.5299999999999994,6.16,7.6899999999999995,36.71,20.0
81047,22.07,25.62,33.94,3.5500000000000007,8.319999999999997,11.869999999999997,52.63,34.04
81048,14.18,12.63,28.2,-1.549999999999999,15.569999999999999,14.02,43.3,20.11
81049,22.13,24.06,27.66,1.9299999999999997,3.6000000000000014,5.530000000000001,44.78,21.17
81050,14.69,15.29,34.31,0.5999999999999996,19.020000000000003,19.620000000000005,42.16,23.32
81051,16.58,20.22,23.73,3.6400000000000006,3.5100000000000016,7.150000000000002,41.38,17.27
81052,23.04,25.17,15.01,2.1300000000000026,-10.160000000000002,-8.03,35.63,6.41
81054,15.58,18.69,28.06,3.110000000000001,9.369999999999997,12.479999999999999,48.7,23.41
81055,22.59,24.88,27.78,2.289999999999999,2.900000000000002,5.190000000000001,45.71,19.39
81056,23.01,26.32,28.04,3.3099999999999987,1.7199999999999989,5.029999999999998,36.36,25.42
81057,23.96,29.39,15.6,5.43,-13.790000000000001,-8.360000000000001,53.42,27.87
81058,19.5,23.77,21.32,4.27,-2.4499999999999993,1.8200000000000003,33.55,15.65
81059,34.3,33.74,16.77,-0.5599999999999952,-16.970000000000002,-17.529999999999998,48.32,24.11
81060,33.76,28.83,,-4.93,,,40.56,23.57
81062,15.57,14.57,,-1.0,,,39.22,10.47
81063,29.09,28.4,0.0,-0.6900000000000013,-28.4,-29.09,41.4,14.62
82001,69.98,67.09,65.21,-2.8900000000000006,-1.8800000000000097,-4.77000000000001,52.83,25.26
82002,57.19,52.28,67.64,-4.909999999999997,15.36,10.450000000000003,43.97,12.5
82003,65.54,67.73,49.66,2.1899999999999977,-18.070000000000007,-15.88000000000001,59.7,9.09
82004,65.43,65.61,49.87,0.1799999999999926,-15.740000000000002,-15.56000000000001,53.91,28.09
82005,45.45,47.76,54.17,2.309999999999995,6.410000000000004,8.719999999999999,56.44,20.49
82006,39.7,39.25,69.6,-0.45000000000000284,30.349999999999994,29.89999999999999,42.0,18.27
82007,46.51,42.78,46.1,-3.729999999999997,3.3200000000000003,-0.4099999999999966,52.63,15.45
82008,23.28,27.13,54.37,3.849999999999998,27.24,31.089999999999996,43.43,22.28
82009,39.51,33.91,43.87,-5.600000000000001,9.96,4.359999999999999,36.79,20.26
82010,27.7,31.89,39.07,4.190000000000001,7.18,11.370000000000001,42.92,18.18
82011,29.9,33.72,39.79,3.8200000000000003,6.07,9.89,35.97,26.02
82012,4.71,8.61,18.97,3.8999999999999995,10.36,14.259999999999998,37.86,12.9
82013,3.84,10.89,21.51,7.050000000000001,10.620000000000001,17.67,28.22,25.0
82014,5.38,12.5,19.33,7.12,6.829999999999998,13.95,25.0,13.95
82015,5.24,13.66,44.69,8.42,31.029999999999998,39.449999999999996,26.46,23.39
82016,30.36,34.04,43.4,3.6799999999999997,9.36,13.04,53.51,18.32
82017,37.93,40.11,38.89,2.1799999999999997,-1.2199999999999989,0.9600000000000009,54.86,23.31
82018,21.41,28.65,59.01,7.239999999999998,30.36,37.599999999999994,37.11,25.0
